Bundesland,Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3,Besonders betroffene Gebiete in Deutschland,time
,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle,,20200321143919
Baden-Württemberg,3.668,+922,33,16,,20200321143919
Bayern,2.960,+559,23,19,,20200321143919
Berlin,866,+135,23,1,,20200321143919
Brandenburg,254,+62,10,0,,20200321143919
Bremen,142,+21,21,0,,20200321143919
Hamburg,587,+1,32,0,,20200321143919
Hessen,1.080,+267,17,2,,20200321143919
Mecklenburg-Vorpommern,165,+34,10,0,,20200321143919
Niedersachsen,1.023,+220,13,0,,20200321143919
Nordrhein-Westfalen,3.542,+45,20,6,Landkreis Heinsberg,20200321143919
Rheinland-Pfalz,938,+137,23,1,,20200321143919
Saarland,187,+41,19,0,,20200321143919
Sachsen,567,+173,14,0,,20200321143919
Sachsen-Anhalt,188,+8,9,0,,20200321143919
Schleswig-Holstein,308,+42,11,1,,20200321143919
Thüringen,187,+38,9,0,,20200321143919
Gesamt,16.662,+2.705,20,46,,20200321143919
