Bundesland,Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3,Besonders betroffene Gebiete in Deutschland,time
,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle,,20200326214604
Baden-Württemberg,7.283,+1.214,66,56,,20200326214604
Bayern,7.993,+1.435,61,47,,20200326214604
Berlin,1.656,+228,44,4,,20200326214604
Brandenburg,477,+48,19,1,,20200326214604
Bremen,211,+11,31,1,,20200326214604
Hamburg,1.265,+3*,69,,,20200326214604
Hessen,2.157,+403,34,6,,20200326214604
Mecklenburg-Vorpommern,244,+26,15,,,20200326214604
Niedersachsen,2.347,+207,29,8,,20200326214604
Nordrhein-Westfalen,7.924,+727,44,53,Landkreis Heinsberg,20200326214604
Rheinland-Pfalz,1.816,+225,44,6,,20200326214604
Saarland,433,+30,44,2,,20200326214604
Sachsen,1.141,+182,28,7,,20200326214604
Sachsen-Anhalt,418,+43,19,1,,20200326214604
Schleswig-Holstein,675,+98,23,3,,20200326214604
Thüringen,468,+74,22,3,,20200326214604
Gesamt,36.508,+4.954,44,198,,20200326214604
