Bundesland,Zahl bestätigter Fälle (darunter Todesfälle),davon elektronisch übermittelt (darunter Todesfälle),Besonders betroffene Gebiete in Deutschland,time
Baden-Württemberg,454 (1),331 (1),,20200313152335
Bayern,500 (1),317,,20200313152335
Berlin,137,137,,20200313152335
Brandenburg,30,23,,20200313152335
Bremen,38,35,,20200313152335
Hamburg,88,60,,20200313152335
Hessen,99,59,,20200313152335
Mecklenburg-Vorpommern,23,16,,20200313152335
Niedersachsen,129,81,,20200313152335
Nordrhein-Westfalen,688 (3),688 (2),Landkreis Heinsberg,20200313152335
Rheinland-Pfalz,52,52,,20200313152335
Saarland,14,8,,20200313152335
Sachsen,45,30,,20200313152335
Sachsen-Anhalt,27,14,,20200313152335
Schleswig-Holstein,31,29,,20200313152335
Thüringen,14,12,,20200313152335
Gesamt,2.369 (5),1.892 (3),,20200313152335
