Bundesland,Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3,Besonders betroffene Gebiete in Deutschland,time
,An­zahl,Dif­fe­renz zum Vor­tag,Erkr./ 100.000 Einw.,Todes­fälle,,20200318162801
Baden-Württemberg,1.609,+130,145,2,,20200318162801
Bayern,1.243,+134,95,4,,20200318162801
Berlin,391,+46,104,0,,20200318162801
Brandenburg,92,+19,37,0,,20200318162801
Bremen,69,+12,101,0,,20200318162801
Hamburg,358,+48,194,0,,20200318162801
Hessen,432,+59,69,0,,20200318162801
Mecklenburg-Vorpommern,56,+11,35,0,,20200318162801
Niedersachsen,478,+153,60,0,,20200318162801
Nordrhein-Westfalen,2.372,+267,132,6,Landkreis Heinsberg,20200318162801
Rheinland-Pfalz,474,+32,116,0,,20200318162801
Saarland,88,+13,89,0,,20200318162801
Sachsen,198,+16,49,0,,20200318162801
Sachsen-Anhalt,105,+47,48,0,,20200318162801
Schleswig-Holstein,159,+32,55,0,,20200318162801
Thüringen,74,+23,35,0,,20200318162801
Gesamt,8.198,+1.042,99,12,,20200318162801
