Bundesland,Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3,Besonders betroffene Gebiete in Deutschland,time
,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle,,20200325185510
Baden-Württemberg,6.069,+721,55,37,,20200325185510
Bayern,6.558,+804,50,37,,20200325185510
Berlin,1.428,+208,38,2,,20200325185510
Brandenburg,429,+86,17,1,,20200325185510
Bremen,200,+17,29,,,20200325185510
Hamburg,1.262,+219,69,,,20200325185510
Hessen,1.754,+134,28,4,,20200325185510
Mecklenburg-Vorpommern,218,+19,14,,,20200325185510
Niedersachsen,2.140,+376,27,7,,20200325185510
Nordrhein-Westfalen,7.197,+879,40,43,Landkreis Heinsberg,20200325185510
Rheinland-Pfalz,1.591,+221,39,5,,20200325185510
Saarland,403,+66,41,2,,20200325185510
Sachsen,959,+148,24,6,,20200325185510
Sachsen-Anhalt,375,+54,17,1,,20200325185510
Schleswig-Holstein,577,+99,20,3,,20200325185510
Thüringen,394,+67,18,1,,20200325185510
Gesamt,31.554,+4.118,38,149,,20200325185510
