Bundesland,Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3,Besonders betroffene Gebiete in Deutschland,time
,An­zahl,Dif­fe­renz zum Vor­tag,Erkr./ 100.000 Einw.,Todes­fälle,,20200319171402
Baden-Württemberg,2.155,+546,1947,6,,20200319171402
Bayern,1.692,+449,1294,8,,20200319171402
Berlin,573,+182,1529,0,,20200319171402
Brandenburg,134,+42,533,0,,20200319171402
Bremen,80,+11,1171,0,,20200319171402
Hamburg,432,+74,2346,0,,20200319171402
Hessen,682,+250,1088,0,,20200319171402
Mecklenburg-Vorpommern,98,+42,609,0,,20200319171402
Niedersachsen,669,+191,838,0,,20200319171402
Nordrhein-Westfalen,3.033,+661,1691,6,Landkreis Heinsberg,20200319171402
Rheinland-Pfalz,637,+163,1559,0,,20200319171402
Saarland,99,+11,999,0,,20200319171402
Sachsen,275,+77,674,0,,20200319171402
Sachsen-Anhalt,140,+35,634,0,,20200319171402
Schleswig-Holstein,202,+43,697,0,,20200319171402
Thüringen,98,+24,457,0,,20200319171402
Gesamt,10.999,+2.801,1323,20,,20200319171402
