Bundes­land,Elektro­nisch über­mittelte Fälle,Elektro­nisch über­mittelte Fälle.1,Elektro­nisch über­mittelte Fälle.2,Elektro­nisch über­mittelte Fälle.3,Beson­ders be­trof­fene Gebiete in Deutsch­land,time
,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle,,20200323153906
Baden-Württem­berg,3.811,+4,34,21,,20200323153906
Bayern,4.892,+1.242,37,26,,20200323153906
Berlin,1077,+53,29,1,,20200323153906
Brandenburg,288,+14,11,,,20200323153906
Bremen,170,+5,25,,,20200323153906
Hamburg,943,+71,51,,,20200323153906
Hessen,1347,+172,21,3,,20200323153906
Mecklenburg-Vor­pommern,172,0,11,,,20200323153906
Niedersachsen,1.483,+177,19,4,,20200323153906
Nordrhein-West­falen,5.615,+2.070,31,28,Landkreis Heinsberg,20200323153906
Rhein­land-Pfalz,1.177,+124,29,2,,20200323153906
Saarland,200,+13,20,,,20200323153906
Sachsen,653,+47,16,,,20200323153906
Sachsen-Anhalt,212,+1,10,,,20200323153906
Schles­wig-Holstein,383,+36,13,1,,20200323153906
Thüringen,249,+33,12,,,20200323153906
Gesamt,22.672,+4.062,27,86,,20200323153906
