Bundesland,Zahl bestätigter Fälle (darunter Todesfälle),davon elektronisch übermittelt (darunter Todesfälle),Besonders betroffene Gebiete in Deutschland,time
Baden-Württemberg,1.105 (3),1.062 (3),,20200316194917
Bayern,1.067 (5),965 (4),,20200316194917
Berlin,300,300,,20200316194917
Brandenburg,94,65,,20200316194917
Bremen,56,56,,20200316194917
Hamburg,260,255,,20200316194917
Hessen,342,241,,20200316194917
Mecklenburg-Vorpommern,51,36,,20200316194917
Niedersachsen,391,272,,20200316194917
Nordrhein-Westfalen,1.541 (5),1.541 (5),Landkreis Heinsberg,20200316194917
Rheinland-Pfalz,325,325,,20200316194917
Saarland,85,32,,20200316194917
Sachsen,140,103,,20200316194917
Sachsen-Anhalt,77,40,,20200316194917
Schleswig-Holstein,123,104,,20200316194917
Thüringen,55,36,,20200316194917
Gesamt,6.012 (13),5.433 (12),,20200316194917
