Bundesland,Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3,Besonders betroffene Gebiete in Deutschland,time
,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle,,20200324222209
Baden-Württemberg,5.348,+1.537,48,30,,20200324222209
Bayern,5.754,+862,44,30,,20200324222209
Berlin,1.220,+143,33,1,,20200324222209
Brandenburg,343,+55,14,,,20200324222209
Bremen,183,+13,27,,,20200324222209
Hamburg,1.043,+100,57,,,20200324222209
Hessen,1.620,+273,26,4,,20200324222209
Mecklenburg-Vorpommern,199,+27,12,,,20200324222209
Niedersachsen,1.764,+281,22,6,,20200324222209
Nordrhein-Westfalen,6.318,+703,35,33,Landkreis Heinsberg,20200324222209
Rheinland-Pfalz,1.370,+193,34,5,,20200324222209
Saarland,337,+137,34,1,,20200324222209
Sachsen,811,+158,20,1,,20200324222209
Sachsen-Anhalt,321,+109,15,,,20200324222209
Schleswig-Holstein,478,+95,17,2,,20200324222209
Thüringen,327,+78,15,1,,20200324222209
Gesamt,27.436,+4.764,33,114,,20200324222209
