Bundesland,Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3,Besonders betroffene Gebiete in Deutschland,time
,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle,,20200322141629
Baden-Württemberg,3.807,+139,34,21,,20200322141629
Bayern,3.650,+690,28,21,,20200322141629
Berlin,1.024,+158,27,1,,20200322141629
Brandenburg,274,+20,11,,,20200322141629
Bremen,165,+23,24,,,20200322141629
Hamburg,872,+285,47,,,20200322141629
Hessen,1.175,+95,19,2,,20200322141629
Mecklenburg-Vorpommern,172,+7,11,,,20200322141629
Niedersachsen,1.306,+283,16,1,,20200322141629
Nordrhein-Westfalen,3.545,+3,20,6,Landkreis Heinsberg,20200322141629
Rheinland-Pfalz,1.053,+115,26,2,,20200322141629
Saarland,187,0,19,,,20200322141629
Sachsen,606,+39,15,,,20200322141629
Sachsen-Anhalt,211,+23,10,,,20200322141629
Schleswig-Holstein,347,+39,12,1,,20200322141629
Thüringen,216,+29,10,,,20200322141629
Gesamt,18.610,+1.948,22,55,,20200322141629
