Bundesland,Zahl bestätigter Fälle (darunter Todesfälle),davon elektronisch übermittelt (darunter Todesfälle),Besonders betroffene Gebiete in Deutschland,time
Baden-Württemberg,454 (1),331 (1),,20200312200602
Bayern,500 (1),317,,20200312200602
Berlin,137,137,,20200312200602
Brandenburg,30,23,,20200312200602
Bremen,38,35,,20200312200602
Hamburg,88,60,,20200312200602
Hessen,99,59,,20200312200602
Mecklenburg-Vorpommern,23,16,,20200312200602
Niedersachsen,129,81,,20200312200602
Nordrhein-Westfalen,688 (3),688 (2),Landkreis Heinsberg,20200312200602
Rheinland-Pfalz,52,52,,20200312200602
Saarland,14,8,,20200312200602
Sachsen,45,30,,20200312200602
Sachsen-Anhalt,27,14,,20200312200602
Schleswig-Holstein,31,29,,20200312200602
Thüringen,14,12,,20200312200602
Gesamt,2.369 (5),1.892 (3),,20200312200602
