Bundesland,Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3,Besonders betroffene Gebiete in Deutschland,time
,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle,,20200323140942
Baden-Württemberg,3.811,+4,34,21,,20200323140942
Bayern,4.892,+1.242,37,26,,20200323140942
Berlin,1077,+53,29,1,,20200323140942
Brandenburg,288,+14,11,,,20200323140942
Bremen,170,+5,25,,,20200323140942
Hamburg,943,+71,51,,,20200323140942
Hessen,1347,+172,21,3,,20200323140942
Mecklenburg-Vorpommern,172,0,11,,,20200323140942
Niedersachsen,1.483,+177,19,4,,20200323140942
Nordrhein-Westfalen,5.615,+2.070,31,28,Landkreis Heinsberg,20200323140942
Rheinland-Pfalz,1.177,+124,29,2,,20200323140942
Saarland,200,+13,20,,,20200323140942
Sachsen,653,+47,16,,,20200323140942
Sachsen-Anhalt,212,+1,10,,,20200323140942
Schleswig-Holstein,383,+36,13,1,,20200323140942
Thüringen,249,+33,12,,,20200323140942
Gesamt,22.672,+4.062,27,86,,20200323140942
