Bundesland,Elektronisch übermittelte Fälle,Elektronisch übermittelte Fälle.1,Elektronisch übermittelte Fälle.2,Elektronisch übermittelte Fälle.3,Besonders betroffene Gebiete in Deutschland,time
,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle,,20200320184936
Baden-Württemberg,2.746,+591,25,10,,20200320184936
Bayern,2.401,+709,18,12,,20200320184936
Berlin,731,+158,20,0,,20200320184936
Brandenburg,192,+58,8,0,,20200320184936
Bremen,121,+41,18,0,,20200320184936
Hamburg,586,+154,32,0,,20200320184936
Hessen,813,+131,13,1,,20200320184936
Mecklenburg-Vorpommern,131,+33,8,0,,20200320184936
Niedersachsen,803,+134,10,0,,20200320184936
Nordrhein-Westfalen,3.497,+464,20,6,Landkreis Heinsberg,20200320184936
Rheinland-Pfalz,801,+164,20,1,,20200320184936
Saarland,146,+47,15,0,,20200320184936
Sachsen,394,+119,10,0,,20200320184936
Sachsen-Anhalt,180,+40,8,0,,20200320184936
Schleswig-Holstein,266,+64,9,1,,20200320184936
Thüringen,149,+51,7,0,,20200320184936
Gesamt,13.957,+2.958,17,31,,20200320184936
