Bundesland,Zahl bestätigter Fälle (darunter Todesfälle),davon elektronisch übermittelt (darunter Todesfälle),Besonders betroffene Gebiete in Deutschland,time
Baden-Württemberg,454 (1),401 (1),,20200314144624
Bayern,558 (1),412,,20200314144624
Berlin,174,174,,20200314144624
Brandenburg,44,44,,20200314144624
Bremen,42,42,,20200314144624
Hamburg,99,99,,20200314144624
Hessen,148,94,,20200314144624
Mecklenburg-Vorpommern,33,21,,20200314144624
Niedersachsen,230,134,,20200314144624
Nordrhein-Westfalen,936 (3),887 (3),Landkreis Heinsberg,20200314144624
Rheinland-Pfalz,102,102,,20200314144624
Saarland,40,30,,20200314144624
Sachsen,83,46,,20200314144624
Sachsen-Anhalt,42,29,,20200314144624
Schleswig-Holstein,48,45,,20200314144624
Thüringen,29,16,,20200314144624
Gesamt,3.062 (5),2.576 (4),,20200314144624
