Bundes­land,Elektro­nisch über­mittelte Fälle,Elektro­nisch über­mittelte Fälle.1,Elektro­nisch über­mittelte Fälle.2,Elektro­nisch über­mittelte Fälle.3,Beson­ders be­trof­fene Gebiete in Deutsch­land,time
,An­zahl,Dif­fe­renz zum Vor­tag,Fälle/ 100.000 Einw.,Todes­fälle,,20200321152537
Baden-Württem­berg,3.668,+922,33,16,,20200321152537
Bayern,2.960,+559,23,19,,20200321152537
Berlin,866,+135,23,1,,20200321152537
Brandenburg,254,+62,10,0,,20200321152537
Bremen,142,+21,21,0,,20200321152537
Hamburg,587,+1,32,0,,20200321152537
Hessen,1.080,+267,17,2,,20200321152537
Mecklenburg-Vor­pommern,165,+34,10,0,,20200321152537
Niedersachsen,1.023,+220,13,0,,20200321152537
Nordrhein-West­falen,3.542,+45,20,6,Landkreis Heinsberg,20200321152537
Rhein­land-Pfalz,938,+137,23,1,,20200321152537
Saarland,187,+41,19,0,,20200321152537
Sachsen,567,+173,14,0,,20200321152537
Sachsen-Anhalt,188,+8,9,0,,20200321152537
Schles­wig-Holstein,308,+42,11,1,,20200321152537
Thüringen,187,+38,9,0,,20200321152537
Gesamt,16.662,+2.705,20,46,,20200321152537
